"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"0","HORTICULTURE","Condiments and Spices","Nutmeg","","fungal attack in  NUTMEG","Recommended to apply Bordeaux Mixture 
100 g CuSo4  Dissolve in 5L of water and 100 g lime dissolve in another 5 L of water  and slowly  add the CuSo4 Solution in lime solution.( note : prepared only in Plastic vessel)
","KERALA","KOTTAYAM","UZHAVOOR","2018-10-18 09:22:55.227"
"0","HORTICULTURE","Condiments and Spices","Nutmeg","","fungal attack in  NUTMEG","Recommended to apply Bordeaux Mixture 
100 g CuSo4  Dissolve in 5L of water and 100 g lime dissolve in another 5 L of water  and slowly  add the CuSo4 Solution in lime solution.( note : prepared only in Plastic vessel)
","KERALA","KOTTAYAM","UZHAVOOR","2018-10-18 09:22:55.227"
"0","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","Boron deficiency in bhindi","Recommended to spray borax 1gm/liter of water
","KERALA","KOTTAYAM","ERATTUPETTA","2018-10-18 15:19:40.207"
"0","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","Boron deficiency in bhindi","Recommended to spray borax 1gm/liter of water
","KERALA","KOTTAYAM","ERATTUPETTA","2018-10-18 15:19:40.207"
"0","HORTICULTURE","Plantation Crops","Cashew","","cashew dieback disease ","
Recommended to apply Bordeaux Mixture 
100 g CuSo4  Dissolve in 5L of water and 100 g lime dissolve in another 5 L of water  and slowly  add the CuSo4 Solution in lime solution.( note : prepared only in Plastic vessel)
","KERALA","KOTTAYAM","ETTUMANOOR","2018-10-18 16:23:03.830"
"0","HORTICULTURE","Plantation Crops","Cashew","","cashew dieback disease ","
Recommended to apply Bordeaux Mixture 
100 g CuSo4  Dissolve in 5L of water and 100 g lime dissolve in another 5 L of water  and slowly  add the CuSo4 Solution in lime solution.( note : prepared only in Plastic vessel)
","KERALA","KOTTAYAM","ETTUMANOOR","2018-10-18 16:23:03.830"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","harvesting machine available center in palakkad","Recommended to contact nearest agro service center","KERALA","KOTTAYAM","ERATTUPETTA","2018-10-20 15:05:48.910"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","harvesting machine available center in palakkad","Recommended to contact nearest agro service center","KERALA","KOTTAYAM","ERATTUPETTA","2018-10-20 15:05:48.910"
"0","HORTICULTURE","Vegetables","Cabbage","","Fertilizer recommendation of cabbage","Fertilizer recommendation of cabbage
Recommended to apply
urea-650gm/1cent
massuriphos -2.2kg/1cent
muriate of potash -400gm/1cent
","KERALA","KOTTAYAM","VAZHOOR","2018-10-20 15:32:47.230"
"0","HORTICULTURE","Vegetables","Cabbage","","Fertilizer recommendation of cabbage","Fertilizer recommendation of cabbage
Recommended to apply
urea-650gm/1cent
massuriphos -2.2kg/1cent
muriate of potash -400gm/1cent
","KERALA","KOTTAYAM","VAZHOOR","2018-10-20 15:32:47.230"
"0","HORTICULTURE","Vegetables","","","Micro-nutrient deficiency in  papaya","Recommended to apply microfood 1/2 teaspoon","KERALA","KOTTAYAM","MADAPPALLY","2018-10-21 15:47:39.317"
"0","HORTICULTURE","Vegetables","","","Micro-nutrient deficiency in  papaya","Recommended to apply microfood 1/2 teaspoon","KERALA","KOTTAYAM","MADAPPALLY","2018-10-21 15:47:39.317"
"0","","","","","incomplete call","","KERALA","KOTTAYAM","UZHAVOOR","2018-10-21 15:59:52.067"
"0","","","","","incomplete call","","KERALA","KOTTAYAM","UZHAVOOR","2018-10-21 15:59:52.067"
"0","HORTICULTURE","Plantation Crops","Coconut","","Fertilizer recommendation of rubber","Fertilizer recommendation of rubber
Recommended to apply
urea-81gm
rock phosphate -208gm
muriate of potash -63gm
","KERALA","KOTTAYAM","KANJIRAPPALLY","2018-10-22 09:48:40.743"
"0","HORTICULTURE","Plantation Crops","Coconut","","eriophyid mite attack in coconut","Recommended to spray azadirachtin 4ml/liter of water
","KERALA","KOTTAYAM","UZHAVOOR","2018-10-22 11:31:57.387"
"0","ANIMAL HUSBANDRY","Animal","Goat","","Thrissur –Mannuthy kvk contact number","Recommended to contact kvk Thrissur –Mannuthy : 0487 2375855","KERALA","KOTTAYAM","KADUTHURUTHY","2018-10-22 12:07:33.300"
"0","ANIMAL HUSBANDRY","Animal","Goat","","Thrissur –Mannuthy kvk contact number","Recommended to contact kvk Thrissur –Mannuthy : 0487 2375855","KERALA","KOTTAYAM","KADUTHURUTHY","2018-10-22 12:07:37.543"
"0","HORTICULTURE","Plantation Crops","Eculeptous","","District Agricultural Farm, Kozha contact number","Recommended to contact  District Agricultural Farm, Kozha  9496000936, 9947745114 ","KERALA","KOTTAYAM","ETTUMANOOR","2018-10-22 12:18:56.520"
"0","ANIMAL HUSBANDRY","Animal","Goat","","animal husbandry related query
","Recommended to contact Animal husbandry number 1800 419 8800","KERALA","KOTTAYAM","KADUTHURUTHY","2018-10-22 12:30:10.693"
"0","ANIMAL HUSBANDRY","Animal","Goat","","contact number of COLLEGE OF VETERINARY & ANIMAL SCIENCE, MANNUTHY","COLLEGE OF VETERINARY & ANIMAL SCIENCE, MANNUTHY
Dean 04872370451
College Office 04872370344 
Goat Farm 04872376117 
VH Mannuthy 04872370665
Krishi Vigyana Kendra 04872375855 ","KERALA","KOTTAYAM","KADUTHURUTHY","2018-10-22 12:35:37.203"
"0","AGRICULTURE","Cereals","Paddy (Dhan)",""," rice seedling transplanting time","rice seedling transplanting time :  25 days after sowing for medium duration","KERALA","KOTTAYAM","ERATTUPETTA","2018-10-22 15:41:31.763"
"0","HORTICULTURE","Fruits","Custard Apple","","kvk kottayam contact number","Recommended to contact kvk Kottayam – Kumarakom : 0481-2524421 ","KERALA","KOTTAYAM","ERATTUPETTA","2018-10-22 16:16:55.137"
"0","AGRICULTURE","Others","Others","","KVK KOTTAYAM  CONTACT NUMBER","RECOMMENDED TO  KVK Kottayam – Kumarakom : 0481-2524421 ","KERALA","KOTTAYAM","ETTUMANOOR","2018-10-23 15:50:00.513"
"0","HORTICULTURE","Condiments and Spices","Nutmeg","","NUTMEG NUTRIENT MANAGEMENT","RECOMMENDED  TO  ?????????

?? ????? ?????????? ??? ????????? 10 ???? ????? ???????? ??????????? ??????????. ??? ??????? ???????????????? 15 ????? ???????????????? ??? ????????? 50 ???? ?????? ???????????????????. ??????????? ????? ?????? ????? ?????????? 44 ????? ?????, 100 ????? ???? ???? ???????????? ?????????, 80 ????? ???????? ????? ??????????? ??????????. ?????? ????? ????? ??????????? ????????? ??????? ???? ???????????????? 15 ???????????????????? ?????????? 1085 ????? ?????, 1375 ????? ???????? ???????????? ?????????, 1600 ????? ????????? ???????.

","KERALA","KOTTAYAM","KADUTHURUTHY","2018-10-24 10:02:57.990"
"0","HORTICULTURE","Plantation Crops","Coconut","","Fertilizer recommendation of coconut","Fertilizer recommendation of coconut
Recommended to apply
urea-500gm
rajphos -750gm
muriate of potash -1kg
","KERALA","KOTTAYAM","PAMPADY","2018-10-24 14:57:00.403"
