"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Jhansi ...?","This week, you have the possibility of strong rain till 1 to 3 September and there is a possibility of drizzling on other days.","UTTAR PRADESH","JHANSI","MOTH                                              ","2018-09-01 06:19:18.267"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Jhansi ...?","This week, you have the possibility of strong rain till 1 to 3 September and there is a possibility of drizzling on other days.","UTTAR PRADESH","JHANSI","MOTH                                              ","2018-09-01 06:19:18.267"
"KHARIF","AGRICULTURE","Others","Others","Weather","information about weather....?","You have the possibility of light rain till 4 September","UTTAR PRADESH","JHANSI","MOTH                                              ","2018-09-01 06:24:36.087"
"KHARIF","AGRICULTURE","Others","Others","Weather","information about weather....?","You have the possibility of light rain till 4 September","UTTAR PRADESH","JHANSI","MOTH                                              ","2018-09-01 06:24:36.087"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information ?","kisan bhai aapke yaha 1 september se 3 september  tak barish hone ki sambhavna hai.","UTTAR PRADESH","JHANSI","MOTH                                              ","2018-09-01 07:27:56.200"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information ?","kisan bhai aapke yaha 1 september se 3 september  tak barish hone ki sambhavna hai.","UTTAR PRADESH","JHANSI","MOTH                                              ","2018-09-01 07:27:56.200"
"RABI","AGRICULTURE","Others","Others","Weather","about asked weather  information ?","es hapte mausam me badal ththa barish ki sambhwna bani hai .","UTTAR PRADESH","JHANSI","MAURANIPUR                                        ","2018-09-01 08:41:14.980"
"RABI","AGRICULTURE","Others","Others","Weather","about asked weather  information ?","es hapte mausam me badal ththa barish ki sambhwna bani hai .","UTTAR PRADESH","JHANSI","MAURANIPUR                                        ","2018-09-01 08:41:14.980"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information ?","kisan bhai aapke yaha 1 september se 4 september  tak barish hone ki sambhavna hai.","UTTAR PRADESH","JHANSI","BABINA                                            ","2018-09-01 08:42:13.137"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information ?","kisan bhai aapke yaha 1 september se 4 september  tak barish hone ki sambhavna hai.","UTTAR PRADESH","JHANSI","BABINA                                            ","2018-09-01 08:42:13.137"
"KHARIF","AGRICULTURE","Others","Others","Varieties","GIVE ME ABOUT WEATHER INFORMATION ?","This week there is a possibility of rain in the area of 1 to 4 september","UTTAR PRADESH","JHANSI","GURSARAI                                          ","2018-09-01 08:45:09.030"
"KHARIF","AGRICULTURE","Others","Others","Varieties","GIVE ME ABOUT WEATHER INFORMATION ?","This week there is a possibility of rain in the area of 1 to 4 september","UTTAR PRADESH","JHANSI","GURSARAI                                          ","2018-09-01 08:45:09.030"
"KHARIF","AGRICULTURE","Others","Others","Weather","give me weather information.....?","kisan bhai is sptah  badal dikhai de rhe hai barish me ki sambhawana hai","UTTAR PRADESH","JHANSI","MAURANIPUR                                        ","2018-09-01 08:48:56.930"
"KHARIF","AGRICULTURE","Others","Others","Weather","give me weather information.....?","kisan bhai is sptah  badal dikhai de rhe hai barish me ki sambhawana hai","UTTAR PRADESH","JHANSI","MAURANIPUR                                        ","2018-09-01 08:48:56.930"
"KHARIF","AGRICULTURE","Others","Others","Weather","information about weather...?","You have the possibility of light rain till 4 September","UTTAR PRADESH","JHANSI","MAURANIPUR                                        ","2018-09-01 08:49:11.173"
"KHARIF","AGRICULTURE","Others","Others","Weather","information about weather...?","You have the possibility of light rain till 4 September","UTTAR PRADESH","JHANSI","MAURANIPUR                                        ","2018-09-01 08:49:11.173"
"KHARIF","AGRICULTURE","Others","Others","Weather","About weather information?","Farmer brother, there is a possibility of rain every day from September 1 to September 4.","UTTAR PRADESH","JHANSI","BAMAUR                                            ","2018-09-01 08:59:46.343"
"KHARIF","AGRICULTURE","Others","Others","Weather","About weather information?","Farmer brother, there is a possibility of rain every day from September 1 to September 4.","UTTAR PRADESH","JHANSI","BAMAUR                                            ","2018-09-01 08:59:46.343"
