"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Inforamtion Of weather    ?","kisan bhai bhai aaj se poore saptah baadal aayege hlki barish hone ki sambhavana hai 2 september aur 3 september ko bhari barish ho sakti hai","UTTAR PRADESH","SAHARANPUR","NAGAL                                             ","2018-09-01 07:10:40.947"
"KHARIF","AGRICULTURE","Others","Others","Weather","Inforamtion Of weather    ?","kisan bhai bhai aaj se poore saptah baadal aayege hlki barish hone ki sambhavana hai 2 september aur 3 september ko bhari barish ho sakti hai","UTTAR PRADESH","SAHARANPUR","NAGAL                                             ","2018-09-01 07:10:40.947"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information District Saharanpur....?","You are likely to get rains from today to September 5","UTTAR PRADESH","SAHARANPUR","GANGOH                                            ","2018-09-01 07:33:38.107"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information District Saharanpur....?","You are likely to get rains from today to September 5","UTTAR PRADESH","SAHARANPUR","GANGOH                                            ","2018-09-01 07:33:38.107"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Stem borer in Paddy Crop?","Caartaap Haidrokloraide 50%SP 500gm/acre/200 litre pani me milaakar spray kren","UTTAR PRADESH","SAHARANPUR","SARSAWAN                                          ","2018-09-01 07:40:07.360"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Stem borer in Paddy Crop?","Caartaap Haidrokloraide 50%SP 500gm/acre/200 litre pani me milaakar spray kren","UTTAR PRADESH","SAHARANPUR","SARSAWAN                                          ","2018-09-01 07:40:07.360"
"KHARIF","AGRICULTURE","Others","Others","Weather","information about weather...?","You have the possibility of light rain till 5 September","UTTAR PRADESH","SAHARANPUR","SADAULI QADEEM                                    ","2018-09-01 07:48:21.287"
"KHARIF","AGRICULTURE","Others","Others","Weather","information about weather...?","You have the possibility of light rain till 5 September","UTTAR PRADESH","SAHARANPUR","SADAULI QADEEM                                    ","2018-09-01 07:48:21.287"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","brown spot ki problem in rice crop","kisan Bhai ap  Carbendazim 12%+ Mancozeb 63% WP 2 gram /liter aur ek tanki me 300 gram uria 75 gram zink ka spray kare","UTTAR PRADESH","SAHARANPUR","NAGAL                                             ","2018-09-01 07:49:40.427"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","brown spot ki problem in rice crop","kisan Bhai ap  Carbendazim 12%+ Mancozeb 63% WP 2 gram /liter aur ek tanki me 300 gram uria 75 gram zink ka spray kare","UTTAR PRADESH","SAHARANPUR","NAGAL                                             ","2018-09-01 07:49:40.427"
