"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"0","","","","","","","UTTAR PRADESH","MAHARAHGANJ","","2018-10-02 10:35:23.517"
"0","AGRICULTURE","Others","Others","","Please give me weather information Maharahganj...?","Kisan bhai aap ke block me 02 octuber se 07 octuber tak barish hone ki koi sambhavna nhi hai","UTTAR PRADESH","MAHARAHGANJ","GHUGHLI                                           ","2018-10-02 10:56:21.960"
"0","AGRICULTURE","Others","Others","","Please give me weather information Maharahganj...?","Kisan bhai aap ke block me 02 octuber se 07 octuber tak barish hone ki koi sambhavna nhi hai","UTTAR PRADESH","MAHARAHGANJ","GHUGHLI                                           ","2018-10-02 10:56:21.960"
"0","HORTICULTURE","Vegetables","Carrot","","varieties information of carrot...?","kisan bhai aap pusa kesar,pusa yamdagni bo sakte hai.","UTTAR PRADESH","MAHARAHGANJ","PANIYARA                                          ","2018-10-02 19:13:28.683"
"0","HORTICULTURE","Vegetables","Carrot","","varieties information of carrot...?","kisan bhai aap pusa kesar,pusa yamdagni bo sakte hai.","UTTAR PRADESH","MAHARAHGANJ","PANIYARA                                          ","2018-10-02 19:13:28.683"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Maharajganj district ...?","This week you are likely to have light drizzle from 3 to 5 October.","UTTAR PRADESH","MAHARAHGANJ","PANIYARA                                          ","2018-10-03 10:32:16.747"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Maharajganj district ...?","This week you are likely to have light drizzle from 3 to 5 October.","UTTAR PRADESH","MAHARAHGANJ","PANIYARA                                          ","2018-10-03 10:32:16.747"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Disease contral in paddy crop ?","Mancozeb 75% WP 600 gm/acres 200 liter paani ke ghol me spray kare ","UTTAR PRADESH","MAHARAHGANJ","MAHRAJGANJ                                        ","2018-10-03 13:55:28.353"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Disease contral in paddy crop ?","Mancozeb 75% WP 600 gm/acres 200 liter paani ke ghol me spray kare ","UTTAR PRADESH","MAHARAHGANJ","MAHRAJGANJ                                        ","2018-10-03 13:55:28.353"
"0","","","","","","","UTTAR PRADESH","MAHARAHGANJ","MITHAURA                                          ","2018-10-04 19:04:50.100"
"0","","","","","","","UTTAR PRADESH","MAHARAHGANJ","MITHAURA                                          ","2018-10-04 19:04:50.100"
"0","","","","","","","UTTAR PRADESH","MAHARAHGANJ","NICHLAUL                                          ","2018-10-05 14:27:26.267"
"0","","","","","","","UTTAR PRADESH","MAHARAHGANJ","NICHLAUL                                          ","2018-10-05 14:27:26.267"
"0","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","","cattle disease information","kisan bhai pashu se sambandhit samasya ke liye pashu doctor se sampark kare","UTTAR PRADESH","MAHARAHGANJ","BRIDGEMANGANJ                                     ","2018-10-05 20:42:21.233"
"0","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","","cattle disease information","kisan bhai pashu se sambandhit samasya ke liye pashu doctor se sampark kare","UTTAR PRADESH","MAHARAHGANJ","BRIDGEMANGANJ                                     ","2018-10-05 20:42:21.233"
"0","HORTICULTURE","Fruits","Banana","","TELL ME ABOUT CONTROL OF INSECT IN
","SPRAY OF NEEM OIL 3 ML PER LITER WATER 
","UTTAR PRADESH","MAHARAHGANJ","MAHRAJGANJ                                        ","2018-10-06 19:09:46.287"
"0","HORTICULTURE","Fruits","Banana","","TELL ME ABOUT CONTROL OF INSECT IN
","SPRAY OF NEEM OIL 3 ML PER LITER WATER 
","UTTAR PRADESH","MAHARAHGANJ","MAHRAJGANJ                                        ","2018-10-06 19:09:46.287"
