"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Werather information of Barabanki district ...?","This week you are likely to have a clear weather","UTTAR PRADESH","BARABANKI","NINDAURA                                          ","2018-10-01 08:47:59.143"
"KHARIF","AGRICULTURE","Others","Others","Weather","Werather information of Barabanki district ...?","This week you are likely to have a clear weather","UTTAR PRADESH","BARABANKI","NINDAURA                                          ","2018-10-01 08:47:59.143"
"0","AGRICULTURE","Others","Others","","government scheme information....?","kisan bhai aap krishi upnideshak se sampark kare.","UTTAR PRADESH","BARABANKI","RAMNAGAR                                          ","2018-10-01 15:07:19.950"
"0","AGRICULTURE","Others","Others","","government scheme information....?","kisan bhai aap krishi upnideshak se sampark kare.","UTTAR PRADESH","BARABANKI","RAMNAGAR                                          ","2018-10-01 15:07:19.950"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","plant protection in paddy ..?","kisan bhai Metominostrobin @ 500ml/ha  ka spray kare","UTTAR PRADESH","BARABANKI","RAMNAGAR                                          ","2018-10-01 18:42:12.690"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","plant protection in paddy ..?","kisan bhai Metominostrobin @ 500ml/ha  ka spray kare","UTTAR PRADESH","BARABANKI","RAMNAGAR                                          ","2018-10-01 18:42:12.690"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Blast disease control in Paddy crop ?","kisan bhai aap Propiconazole 25% EC  200 mili dva/acre 200 litre pani ki dar se spray kare 
","UTTAR PRADESH","BARABANKI","TRIVEDIGANJ                                       ","2018-10-01 19:55:47.583"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Blast disease control in Paddy crop ?","kisan bhai aap Propiconazole 25% EC  200 mili dva/acre 200 litre pani ki dar se spray kare 
","UTTAR PRADESH","BARABANKI","TRIVEDIGANJ                                       ","2018-10-01 19:55:47.583"
"0","","","","","","","UTTAR PRADESH","BARABANKI","SIRAULI GAUSPUR                                   ","2018-10-02 08:02:38.040"
"0","","","","","","","UTTAR PRADESH","BARABANKI","SIRAULI GAUSPUR                                   ","2018-10-02 08:02:38.040"
"0","","","","","","","UTTAR PRADESH","BARABANKI","","2018-10-02 09:42:38.420"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","dhaan me seath jhulsha laga hai?","500 gram carbendazam+250 gram mancozeb/ hactaer ko 500 liter pani me milaakar spray kare","UTTAR PRADESH","BARABANKI","DARIYABAD                                         ","2018-10-02 10:57:13.923"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","dhaan me seath jhulsha laga hai?","500 gram carbendazam+250 gram mancozeb/ hactaer ko 500 liter pani me milaakar spray kare","UTTAR PRADESH","BARABANKI","DARIYABAD                                         ","2018-10-02 10:57:13.923"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Fungus problem in paddy crop..?
","kisan bhai aap propiconazole 25% ec 200 ml / acre 150 liter pani me spray kare.
","UTTAR PRADESH","BARABANKI","BANI KODAR                                        ","2018-10-02 12:05:38.783"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Fungus problem in paddy crop..?
","kisan bhai aap propiconazole 25% ec 200 ml / acre 150 liter pani me spray kare.
","UTTAR PRADESH","BARABANKI","BANI KODAR                                        ","2018-10-02 12:05:38.783"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","KANDUA IN PADDY...?","propiconazole 25 %  EC 200/acre me spre kare  ","UTTAR PRADESH","BARABANKI","BANI KODAR                                        ","2018-10-02 19:32:18.910"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","KANDUA IN PADDY...?","propiconazole 25 %  EC 200/acre me spre kare  ","UTTAR PRADESH","BARABANKI","BANI KODAR                                        ","2018-10-02 19:32:18.910"
"0","HORTICULTURE","Fruits","Citrus","","nutrient management in citrus..?","kisan bhai aap ghulansheel gandhak 2gram/liter pani me sprey kare.","UTTAR PRADESH","BARABANKI","TRIVEDIGANJ                                       ","2018-10-02 19:58:40.990"
"0","HORTICULTURE","Fruits","Citrus","","nutrient management in citrus..?","kisan bhai aap ghulansheel gandhak 2gram/liter pani me sprey kare.","UTTAR PRADESH","BARABANKI","TRIVEDIGANJ                                       ","2018-10-02 19:58:40.990"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Plant protection in paddy....?","mailathiyan 50% WP 8 kigra/acre ki dar se prayog kare","UTTAR PRADESH","BARABANKI","RAMNAGAR                                          ","2018-10-03 07:39:26.020"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Plant protection in paddy....?","mailathiyan 50% WP 8 kigra/acre ki dar se prayog kare","UTTAR PRADESH","BARABANKI","RAMNAGAR                                          ","2018-10-03 07:39:26.020"
"0","AGRICULTURE","Others","Others","","please give me weather information 
","kisan bhai ap ke kshetr me poore saptah halke badal ke sat Mausam saf rahne ka anuman hai
","UTTAR PRADESH","BARABANKI","SURATGANJ                                         ","2018-10-03 12:05:51.867"
"0","AGRICULTURE","Others","Others","","please give me weather information 
","kisan bhai ap ke kshetr me poore saptah halke badal ke sat Mausam saf rahne ka anuman hai
","UTTAR PRADESH","BARABANKI","SURATGANJ                                         ","2018-10-03 12:05:51.867"
"0","","","","","None","","UTTAR PRADESH","BARABANKI","SIRAULI GAUSPUR                                   ","2018-10-03 19:27:52.603"
