"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"0","HORTICULTURE","Fruits","Mango","","Termite problem in paddy Spray ","chlorpyriphos 50 %  2 ml / liter pani ka ghol banaker spray kare
","UTTAR PRADESH","JAUNPUR","MUFTI GANJ                                        ","2018-10-01 07:52:11.137"
"0","HORTICULTURE","Fruits","Mango","","Termite problem in paddy Spray ","chlorpyriphos 50 %  2 ml / liter pani ka ghol banaker spray kare
","UTTAR PRADESH","JAUNPUR","MUFTI GANJ                                        ","2018-10-01 07:52:11.137"
"0","","","","","Please till me about Weather information  ?
","kisan ji Aap ke yaha Aaj 1 se 6 octuber tak halke baadal bane hai lekin barish ki koi sambhawana nahi hai  .
","UTTAR PRADESH","JAUNPUR","JALAL PUR                                         ","2018-10-01 09:23:26.290"
"0","","","","","Please till me about Weather information  ?
","kisan ji Aap ke yaha Aaj 1 se 6 octuber tak halke baadal bane hai lekin barish ki koi sambhawana nahi hai  .
","UTTAR PRADESH","JAUNPUR","JALAL PUR                                         ","2018-10-01 09:23:26.290"
"0","HORTICULTURE","Vegetables","Potato","","information about potato...?","","UTTAR PRADESH","JAUNPUR","MUNGRA BADSHAH PUR                                ","2018-10-01 09:32:21.090"
"0","HORTICULTURE","Vegetables","Potato","","information about potato...?","","UTTAR PRADESH","JAUNPUR","MUNGRA BADSHAH PUR                                ","2018-10-01 09:32:21.090"
"KHARIF","HORTICULTURE","Vegetables","Ribbed Gourd (Kali Tori)","	Plant Protection	","Plant protection of ribbed gourd crops ...?","Dear farmer use to Imidacloprid 17.8% SL 0.5ml/liter water splash in the field","UTTAR PRADESH","JAUNPUR","SUJAN GANJ                                        ","2018-10-01 10:08:37.630"
"KHARIF","HORTICULTURE","Vegetables","Ribbed Gourd (Kali Tori)","	Plant Protection	","Plant protection of ribbed gourd crops ...?","Dear farmer use to Imidacloprid 17.8% SL 0.5ml/liter water splash in the field","UTTAR PRADESH","JAUNPUR","SUJAN GANJ                                        ","2018-10-01 10:08:37.630"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Disease problem in paddy crop....?","kisan bhai aap Carbendazim 12% + Mancozeb 63% WP 2gm/liter pani me ghol bna kar spray kare","UTTAR PRADESH","JAUNPUR","SUITHA KALA                                       ","2018-10-01 10:27:21.800"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Disease problem in paddy crop....?","kisan bhai aap Carbendazim 12% + Mancozeb 63% WP 2gm/liter pani me ghol bna kar spray kare","UTTAR PRADESH","JAUNPUR","SUITHA KALA                                       ","2018-10-01 10:27:21.800"
"0","","","","","","","UTTAR PRADESH","JAUNPUR","SUJAN GANJ                                        ","2018-10-01 11:57:06.787"
"0","","","","","","","UTTAR PRADESH","JAUNPUR","SUJAN GANJ                                        ","2018-10-01 11:57:06.787"
"0","AGRICULTURE","Oilseeds","Mustard","","sarso me sulpher ka prayog / acer kitani matraa de?","6 se 7 kilogram / ekar ka prayog kare","UTTAR PRADESH","JAUNPUR","SUJAN GANJ                                        ","2018-10-01 13:30:56.430"
"0","AGRICULTURE","Oilseeds","Mustard","","sarso me sulpher ka prayog / acer kitani matraa de?","6 se 7 kilogram / ekar ka prayog kare","UTTAR PRADESH","JAUNPUR","SUJAN GANJ                                        ","2018-10-01 13:30:56.430"
"0","","","","","","","UTTAR PRADESH","JAUNPUR","JALAL PUR                                         ","2018-10-01 16:42:22.227"
"0","","","","","","","UTTAR PRADESH","JAUNPUR","JALAL PUR                                         ","2018-10-01 16:42:22.227"
"0","","","","","","","UTTAR PRADESH","JAUNPUR","SIKRARA                                           ","2018-10-02 08:15:40.480"
"0","","","","","","","UTTAR PRADESH","JAUNPUR","SIKRARA                                           ","2018-10-02 08:15:40.480"
"0","AGRICULTURE","Others","Others","","Information of weather.?
","kisan bhai aapke yaha aj se 07 october tak baaris ki koi sambhawna nhi hai.
","UTTAR PRADESH","JAUNPUR","MAHARAJ GANJ                                      ","2018-10-02 09:49:09.670"
"0","AGRICULTURE","Others","Others","","Information of weather.?
","kisan bhai aapke yaha aj se 07 october tak baaris ki koi sambhawna nhi hai.
","UTTAR PRADESH","JAUNPUR","MAHARAJ GANJ                                      ","2018-10-02 09:49:09.670"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Disease in Paddy ?","kisan bhai zineb 75 % wp KA 2 gm / litre  ka ghol bana kar spray karaye ","UTTAR PRADESH","JAUNPUR","SHAH GANJ                                         ","2018-10-02 09:54:40.843"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Disease in Paddy ?","kisan bhai zineb 75 % wp KA 2 gm / litre  ka ghol bana kar spray karaye ","UTTAR PRADESH","JAUNPUR","SHAH GANJ                                         ","2018-10-02 09:54:40.843"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","information about disease control in paddy....?","Dear former use to  Copper Oxychloride 50% WP  2.5g/liter water splash in the field
","UTTAR PRADESH","JAUNPUR","SIRKONI                                           ","2018-10-02 12:10:26.980"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","information about disease control in paddy....?","Dear former use to  Copper Oxychloride 50% WP  2.5g/liter water splash in the field
","UTTAR PRADESH","JAUNPUR","SIRKONI                                           ","2018-10-02 12:10:26.980"
"0","AGRICULTURE","Others","Others","","solar pump information?","kisan bhai ap apne jile ki krishi up nideshak ke karayalay se sampark karen","UTTAR PRADESH","JAUNPUR","BAKSHA                                            ","2018-10-02 13:44:09.930"
"0","AGRICULTURE","Others","Others","","solar pump information?","kisan bhai ap apne jile ki krishi up nideshak ke karayalay se sampark karen","UTTAR PRADESH","JAUNPUR","BAKSHA                                            ","2018-10-02 13:44:09.930"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","fungal problem in paddy?","Farmer brother,spray of Propiconazole 25 % EC @ 200 ml/acre in 200 liter of water solution.","UTTAR PRADESH","JAUNPUR","MAHARAJ GANJ                                      ","2018-10-02 16:05:15.250"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","fungal problem in paddy?","Farmer brother,spray of Propiconazole 25 % EC @ 200 ml/acre in 200 liter of water solution.","UTTAR PRADESH","JAUNPUR","MAHARAJ GANJ                                      ","2018-10-02 16:05:15.250"
"0","HORTICULTURE","Vegetables","Potato","","variety of potato…….?","variety of potato- Kufari  Bahar, Kufari  Ashoka.","UTTAR PRADESH","JAUNPUR","JALAL PUR                                         ","2018-10-02 17:27:37.260"
"0","HORTICULTURE","Vegetables","Potato","","variety of potato…….?","variety of potato- Kufari  Bahar, Kufari  Ashoka.","UTTAR PRADESH","JAUNPUR","JALAL PUR                                         ","2018-10-02 17:27:37.260"
